frame,read_ms,track_ms,yolo_pre_ms,yolo_inf_ms,yolo_post_ms,ids_ms,draw_ms,diag_ms,n_tracks,n_small,n_blur,n_occluded_pairs
75,2.767,138.062,9.787,119.824,2.231,1.895,4.783,1.357,19,8,0,0
76,1.81,119.202,7.171,106.807,2.003,1.825,5.332,1.328,19,8,0,0
77,2.1,120.746,7.395,102.098,2.99,4.461,8.722,3.685,19,8,0,0
78,2.448,120.442,7.894,105.712,2.091,2.452,7.475,1.955,21,10,0,0
79,2.047,115.672,7.084,97.648,2.771,4.544,8.104,4.104,20,9,0,0
80,2.259,111.915,6.702,99.13,1.888,2.402,6.578,2.092,21,10,0,0
81,2.042,115.518,8.004,98.532,2.229,4.433,8.509,1.806,19,9,0,0
82,2.343,123.082,7.41,104.528,2.682,5.029,8.551,3.414,21,10,0,0
83,2.389,112.31,8.141,97.816,1.991,2.253,6.266,1.665,19,9,0,0
84,2.23,113.509,7.004,99.687,2.129,2.52,6.488,2.072,22,11,0,0
85,2.416,114.262,8.044,99.894,2.045,8.464,7.707,1.589,22,12,0,0
86,2.274,114.74,7.666,97.431,2.075,2.615,6.37,1.708,21,10,0,0
87,2.173,126.717,7.877,108.021,2.977,3.287,8.335,1.637,21,10,0,0
88,2.341,120.345,8.171,104.7,2.438,3.276,8.67,3.821,21,10,0,0
89,2.037,120.018,8.49,101.558,2.545,4.674,8.324,3.103,21,10,0,0
90,2.112,114.875,7.677,98.458,2.77,4.824,8.323,1.815,21,10,0,0
91,2.683,114.684,6.635,98.136,2.548,4.375,8.702,3.357,20,9,0,0
92,2.295,117.438,7.696,99.213,2.92,3.833,8.448,3.262,20,9,0,0
93,2.18,115.568,6.845,98.467,2.57,4.93,7.94,3.494,20,9,0,0
94,2.03,111.366,7.996,96.764,2.203,2.399,6.5,1.667,20,9,0,0
95,2.321,127.564,6.986,114.109,2.063,2.282,6.099,1.727,20,9,0,0
96,2.256,126.769,8.444,109.147,2.535,4.227,7.293,3.075,21,10,0,0
97,2.558,132.856,7.014,118.367,3.401,1.848,8.391,1.423,21,10,0,0
98,1.937,122.146,10.138,103.138,2.972,3.812,7.032,2.861,22,10,0,0
99,1.805,117.321,8.237,100.617,2.699,4.07,6.311,2.861,22,10,0,0
100,1.854,132.787,8.746,114.698,3.264,3.7,10.7,3.136,22,10,0,0
101,2.088,135.781,10.086,116.358,2.964,3.525,6.807,3.024,21,10,0,0
102,1.962,122.822,8.586,105.385,3.011,3.249,7.116,2.776,20,9,0,0
103,1.915,125.318,8.676,106.188,2.99,6.032,6.592,2.866,20,9,0,0
104,2.028,136.495,15.433,111.691,2.865,3.6,6.932,2.971,22,11,0,0
105,1.842,122.966,8.957,104.866,2.781,3.735,6.489,2.958,22,11,0,0
106,1.84,122.383,9.214,104.284,2.967,3.541,6.627,2.978,21,10,0,0
107,1.981,120.971,8.717,103.867,2.84,3.938,6.572,2.736,22,11,0,0
108,2.298,121.023,9.425,102.871,2.713,3.389,6.644,2.88,21,10,0,0
109,1.926,121.906,8.682,104.47,2.998,3.615,8.243,3.228,22,11,0,0
110,2.014,145.028,9.372,123.163,3.975,4.937,8.837,3.731,22,12,0,0
111,2.35,128.279,9.92,107.636,3.612,4.873,8.183,4.298,22,12,0,0
112,2.228,135.093,11.79,111.357,4.069,4.9,9.292,4.139,22,11,0,0
113,2.736,133.615,10.923,111.422,3.387,5.108,9.031,4.529,20,9,0,0
114,2.376,134.723,12.012,111.314,3.549,7.034,9.332,4.275,21,10,0,0
115,3.526,141.842,11.351,118.704,3.518,4.78,9.653,4.452,20,9,0,0
