frame,time_s,type,stable_id,class,detail
460,15.33,id_recovered,133,moto,"raw 593 -> 631, mất 10 frame"
462,15.4,id_recovered,141,car,"raw 620 -> 633, mất 0 frame"
462,15.4,id_recovered,143,car,"raw 624 -> 536, mất 0 frame"
464,15.47,id_recovered,133,moto,"raw 631 -> 637, mất 1 frame"
467,15.57,id_recovered,56,car,"raw 443 -> 642, mất 21 frame"
468,15.6,id_recovered,117,moto,"raw 602 -> 646, mất 19 frame"
468,15.6,id_recovered,146,moto,"raw 635 -> 647, mất 2 frame"
469,15.63,occlusion,45&109,,IoU 0.34
471,15.7,id_recovered,19,car,"raw 607 -> 651, mất 25 frame"
471,15.7,id_recovered,146,moto,"raw 647 -> 652, mất 2 frame"
471,15.7,occlusion,19&47,,IoU 0.50
476,15.87,id_recovered,38,car,"raw 601 -> 660, mất 10 frame"
477,15.9,id_recovered,147,moto,"raw 648 -> 661, mất 6 frame"
479,15.97,occlusion,45&109,,IoU 0.32
480,16.0,id_recovered,146,moto,"raw 652 -> 667, mất 7 frame"
480,16.0,id_recovered,144,moto,"raw 632 -> 668, mất 17 frame"
480,16.0,id_recovered,13,car,"raw 453 -> 669, mất 43 frame"
480,16.0,occlusion,137&148,,IoU 0.52
481,16.03,occlusion,19&47,,IoU 0.44
482,16.07,id_recovered,131,moto,"raw 577 -> 671, mất 59 frame"
482,16.07,id_recovered,109,car,"raw 612 -> 674, mất 2 frame"
482,16.07,occlusion,57&69,,IoU 0.41
483,16.1,small_object,149,truck,"box 24x42px, conf 0.41"
484,16.13,small_object,117,moto,"box 22x45px, conf 0.36"
484,16.13,occlusion,19&47,,IoU 0.62
484,16.13,occlusion,47&150,,IoU 0.36
485,16.17,id_recovered,123,moto,"raw 81 -> 678, mất 1 frame"
485,16.17,occlusion,82&135,,IoU 0.33
486,16.2,id_recovered,99,car,"raw 417 -> 680, mất 1 frame"
488,16.27,id_recovered,45,car,"raw 104 -> 612, mất 0 frame"
488,16.27,occlusion,57&69,,IoU 0.50
489,16.3,id_recovered,38,car,"raw 660 -> 683, mất 9 frame"
489,16.3,id_recovered,147,moto,"raw 661 -> 684, mất 3 frame"
489,16.3,id_recovered,56,car,"raw 642 -> 685, mất 8 frame"
489,16.3,id_recovered,122,car,"raw 562 -> 687, mất 23 frame"
489,16.3,id_recovered,99,car,"raw 680 -> 417, mất 0 frame"
489,16.3,occlusion,90&99,,IoU 0.36
491,16.37,id_recovered,150,car,"raw 676 -> 690, mất 1 frame"
491,16.37,id_recovered,131,moto,"raw 671 -> 691, mất 8 frame"
492,16.4,id_recovered,59,car,"raw 372 -> 694, mất 29 frame"
492,16.4,id_recovered,132,moto,"raw 582 -> 695, mất 11 frame"
493,16.43,small_object,86,car,"box 32x31px, conf 0.47"
493,16.43,small_object,150,car,"box 31x33px, conf 0.51"
493,16.43,occlusion,38&141,,IoU 0.33
496,16.53,occlusion,57&69,,IoU 0.57
497,16.57,id_recovered,90,car,"raw 356 -> 698, mất 7 frame"
497,16.57,occlusion,90&99,,IoU 0.37
498,16.6,occlusion,57&69,,IoU 0.56
499,16.63,id_recovered,99,car,"raw 417 -> 699, mất 1 frame"
500,16.67,id_recovered,135,car,"raw 596 -> 700, mất 1 frame"
500,16.67,id_recovered,38,car,"raw 683 -> 701, mất 4 frame"
500,16.67,id_recovered,145,moto,"raw 634 -> 702, mất 32 frame"
500,16.67,id_recovered,28,car,"raw 227 -> 703, mất 56 frame"
500,16.67,occlusion,25&28,,IoU 0.31
501,16.7,id_recovered,109,car,"raw 674 -> 705, mất 15 frame"
501,16.7,occlusion,45&109,,IoU 0.49
502,16.73,id_recovered,115,moto,"raw 499 -> 707, mất 25 frame"
502,16.73,occlusion,57&69,,IoU 0.59
503,16.77,small_object,99,car,"box 30x28px, conf 0.39"
503,16.77,id_recovered,19,car,"raw 651 -> 708, mất 16 frame"
503,16.77,occlusion,25&28,,IoU 0.31
503,16.77,occlusion,19&150,,IoU 0.56
504,16.8,id_recovered,137,car,"raw 600 -> 709, mất 6 frame"
506,16.87,id_recovered,122,car,"raw 687 -> 711, mất 16 frame"
509,16.97,id_recovered,90,car,"raw 698 -> 417, mất 0 frame"
510,17.0,id_recovered,99,car,"raw 699 -> 698, mất 6 frame"
510,17.0,occlusion,45&109,,IoU 0.33
510,17.0,occlusion,90&99,,IoU 0.56
511,17.03,id_recovered,69,car,"raw 590 -> 715, mất 1 frame"
512,17.07,id_recovered,154,car,"raw 706 -> 718, mất 1 frame"
513,17.1,small_object,100,car,"box 34x29px, conf 0.68"
514,17.13,id_recovered,92,car,"raw 420 -> 722, mất 8 frame"
514,17.13,id_recovered,82,car,"raw 445 -> 724, mất 27 frame"
514,17.13,id_recovered,25,car,"raw 410 -> 725, mất 8 frame"
514,17.13,id_recovered,57,car,"raw 628 -> 395, mất 9 frame"
515,17.17,id_recovered,155,moto,"raw 551 -> 728, mất 10 frame"
515,17.17,id_recovered,123,moto,"raw 678 -> 729, mất 3 frame"
517,17.23,id_recovered,143,car,"raw 536 -> 735, mất 4 frame"
517,17.23,id_recovered,69,car,"raw 715 -> 736, mất 1 frame"
519,17.3,id_recovered,69,car,"raw 736 -> 628, mất 0 frame"
520,17.33,id_recovered,69,car,"raw 628 -> 736, mất 0 frame"
521,17.37,id_recovered,156,car,"raw 717 -> 740, mất 1 frame"
521,17.37,id_recovered,36,car,"raw 619 -> 741, mất 1 frame"
523,17.43,id_recovered,145,moto,"raw 702 -> 743, mất 11 frame"
523,17.43,id_recovered,47,car,"raw 564 -> 628, mất 38 frame"
523,17.43,occlusion,47&69,,IoU 0.55
526,17.53,id_recovered,69,car,"raw 736 -> 744, mất 2 frame"
526,17.53,occlusion,47&69,,IoU 0.56
529,17.63,id_recovered,28,car,"raw 703 -> 747, mất 24 frame"
530,17.67,id_recovered,69,car,"raw 744 -> 748, mất 1 frame"
530,17.67,occlusion,47&69,,IoU 0.54
531,17.7,id_recovered,36,car,"raw 741 -> 619, mất 1 frame"
533,17.77,occlusion,90&111,,IoU 0.33
534,17.8,id_recovered,132,moto,"raw 695 -> 753, mất 41 frame"
534,17.8,id_recovered,109,car,"raw 705 -> 754, mất 21 frame"
534,17.8,id_recovered,57,car,"raw 395 -> 755, mất 12 frame"
534,17.8,occlusion,115&159,,IoU 0.48
535,17.83,occlusion,19&150,,IoU 0.62
536,17.87,small_object,92,car,"box 37x27px, conf 0.60"
536,17.87,id_recovered,153,moto,"raw 693 -> 759, mất 21 frame"
538,17.93,id_recovered,106,car,"raw 465 -> 761, mất 52 frame"
538,17.93,id_recovered,145,moto,"raw 743 -> 702, mất 12 frame"
540,18.0,id_recovered,28,car,"raw 747 -> 764, mất 1 frame"
542,18.07,id_recovered,106,car,"raw 761 -> 767, mất 3 frame"
544,18.13,id_recovered,146,moto,"raw 667 -> 770, mất 52 frame"
544,18.13,id_recovered,58,car,"raw 164 -> 772, mất 58 frame"
544,18.13,id_recovered,137,car,"raw 709 -> 773, mất 19 frame"
544,18.13,occlusion,19&150,,IoU 0.43
544,18.13,occlusion,146&153,,IoU 0.59
545,18.17,id_recovered,38,car,"raw 701 -> 776, mất 6 frame"
545,18.17,id_recovered,59,car,"raw 694 -> 777, mất 39 frame"
549,18.3,id_recovered,158,moto,"raw 752 -> 577, mất 11 frame"
550,18.33,id_recovered,145,moto,"raw 702 -> 782, mất 1 frame"
551,18.37,id_recovered,69,car,"raw 748 -> 783, mất 7 frame"
555,18.5,id_recovered,90,car,"raw 417 -> 787, mất 19 frame"
555,18.5,occlusion,90&111,,IoU 0.32
556,18.53,id_recovered,160,car,"raw 760 -> 788, mất 4 frame"
557,18.57,id_recovered,130,car,"raw 576 -> 789, mất 6 frame"
559,18.63,id_recovered,136,car,"raw 598 -> 791, mất 21 frame"
561,18.7,small_object,111,car,"box 30x32px, conf 0.53"
561,18.7,small_object,145,moto,"box 27x37px, conf 0.44"
562,18.73,id_recovered,122,car,"raw 711 -> 793, mất 0 frame"
563,18.77,motion_blur,160,car,"độ nét 26, tốc độ 11.8px/frame"
566,18.87,id_recovered,59,car,"raw 777 -> 796, mất 18 frame"
568,18.93,small_object,153,moto,"box 24x34px, conf 0.55"
568,18.93,occlusion,19&150,,IoU 0.53
569,18.97,id_recovered,13,car,"raw 669 -> 798, mất 1 frame"
570,19.0,id_recovered,153,moto,"raw 759 -> 800, mất 0 frame"
570,19.0,occlusion,136&164,,IoU 0.42
572,19.07,id_recovered,86,car,"raw 315 -> 802, mất 5 frame"
573,19.1,id_recovered,153,moto,"raw 800 -> 803, mất 2 frame"
576,19.2,id_recovered,72,car,"raw 301 -> 805, mất 29 frame"
576,19.2,id_recovered,137,car,"raw 773 -> 806, mất 0 frame"
577,19.23,id_recovered,27,car,"raw 613 -> 807, mất 4 frame"
581,19.37,id_recovered,136,car,"raw 791 -> 814, mất 10 frame"
583,19.43,id_recovered,57,car,"raw 755 -> 816, mất 2 frame"
584,19.47,id_recovered,106,car,"raw 767 -> 817, mất 1 frame"
587,19.57,small_object,167,car,"box 25x31px, conf 0.44"
587,19.57,id_recovered,69,car,"raw 783 -> 755, mất 14 frame"
588,19.6,id_recovered,153,moto,"raw 803 -> 822, mất 9 frame"
588,19.6,id_recovered,161,car,"raw 775 -> 823, mất 38 frame"
589,19.63,id_recovered,19,car,"raw 708 -> 824, mất 4 frame"
589,19.63,occlusion,19&57,,IoU 0.50
590,19.67,id_recovered,166,car,"raw 810 -> 825, mất 1 frame"
590,19.67,id_recovered,38,car,"raw 776 -> 826, mất 44 frame"
595,19.83,id_recovered,123,moto,"raw 729 -> 828, mất 9 frame"
595,19.83,id_recovered,58,car,"raw 772 -> 576, mất 11 frame"
596,19.87,id_recovered,38,car,"raw 826 -> 829, mất 5 frame"
599,19.97,id_recovered,90,car,"raw 787 -> 831, mất 39 frame"
600,20.0,small_object,127,car,"box 31x31px, conf 0.65"
600,20.0,id_recovered,162,truck,"raw 711 -> 832, mất 3 frame"
604,20.13,id_recovered,57,car,"raw 816 -> 834, mất 12 frame"
604,20.13,id_recovered,38,car,"raw 829 -> 835, mất 6 frame"
604,20.13,occlusion,57&150,,IoU 0.33
606,20.2,id_recovered,99,car,"raw 698 -> 836, mất 47 frame"
608,20.27,id_recovered,136,car,"raw 814 -> 839, mất 12 frame"
612,20.4,id_recovered,107,car,"raw 547 -> 841, mất 1 frame"
613,20.43,id_recovered,167,car,"raw 821 -> 843, mất 8 frame"
617,20.57,id_recovered,164,car,"raw 801 -> 845, mất 23 frame"
619,20.63,id_recovered,127,car,"raw 569 -> 846, mất 1 frame"
622,20.73,id_recovered,90,car,"raw 831 -> 847, mất 22 frame"
623,20.77,id_recovered,107,car,"raw 841 -> 848, mất 9 frame"
623,20.77,id_recovered,57,car,"raw 834 -> 849, mất 17 frame"
623,20.77,occlusion,19&57,,IoU 0.51
624,20.8,id_recovered,167,car,"raw 843 -> 850, mất 1 frame"
