frame,time_s,type,stable_id,class,detail
105,3.5,occlusion,6&28,,IoU 0.55
106,3.53,occlusion,9&23,,IoU 0.57
106,3.53,occlusion,2&48,,IoU 0.42
109,3.63,id_recovered,54,moto,"raw 163 -> 175, mất 5 frame"
110,3.67,occlusion,9&23,,IoU 0.51
111,3.7,occlusion,2&48,,IoU 0.45
114,3.8,occlusion,2&48,,IoU 0.45
115,3.83,id_recovered,25,car,"raw 141 -> 180, mất 6 frame"
116,3.87,id_recovered,54,moto,"raw 175 -> 182, mất 5 frame"
116,3.87,id_recovered,26,car,"raw 26 -> 183, mất 28 frame"
117,3.9,small_object,51,moto,"box 26x39px, conf 0.50"
119,3.97,id_recovered,51,moto,"raw 124 -> 185, mất 1 frame"
120,4.0,id_recovered,69,car,"raw 177 -> 186, mất 1 frame"
122,4.07,id_recovered,56,car,"raw 108 -> 188, mất 28 frame"
123,4.1,small_object,68,moto,"box 25x41px, conf 0.44"
124,4.13,occlusion,2&48,,IoU 0.36
128,4.27,id_recovered,39,moto,"raw 147 -> 195, mất 1 frame"
129,4.3,id_recovered,70,car,"raw 194 -> 196, mất 1 frame"
131,4.37,id_recovered,25,car,"raw 180 -> 198, mất 7 frame"
131,4.37,occlusion,25&45,,IoU 0.30
132,4.4,id_recovered,40,car,"raw 16 -> 200, mất 1 frame"
133,4.43,id_recovered,51,moto,"raw 185 -> 201, mất 2 frame"
136,4.53,id_recovered,66,car,"raw 157 -> 202, mất 1 frame"
136,4.53,id_recovered,51,moto,"raw 201 -> 185, mất 0 frame"
138,4.6,id_recovered,17,car,"raw 144 -> 204, mất 51 frame"
139,4.63,id_recovered,66,car,"raw 202 -> 205, mất 1 frame"
140,4.67,small_object,71,moto,"box 24x26px, conf 0.41"
141,4.7,id_recovered,17,car,"raw 204 -> 208, mất 2 frame"
141,4.7,id_recovered,5,car,"raw 5 -> 210, mất 44 frame"
141,4.7,id_recovered,36,car,"raw 101 -> 212, mất 21 frame"
141,4.7,occlusion,36&47,,IoU 0.52
142,4.73,id_recovered,65,bus,"raw 155 -> 213, mất 41 frame"
143,4.77,id_recovered,31,car,"raw 33 -> 214, mất 31 frame"
143,4.77,id_recovered,67,moto,"raw 169 -> 215, mất 9 frame"
144,4.8,id_recovered,61,car,"raw 137 -> 216, mất 31 frame"
144,4.8,occlusion,25&45,,IoU 0.37
147,4.9,id_recovered,5,car,"raw 210 -> 221, mất 1 frame"
148,4.93,id_recovered,38,bus,"raw 43 -> 222, mất 27 frame"
149,4.97,id_recovered,16,car,"raw 152 -> 223, mất 48 frame"
152,5.07,id_recovered,73,moto,"raw 220 -> 225, mất 1 frame"
152,5.07,id_recovered,24,car,"raw 91 -> 227, mất 58 frame"
154,5.13,id_recovered,73,moto,"raw 225 -> 228, mất 0 frame"
154,5.13,id_recovered,23,car,"raw 161 -> 229, mất 43 frame"
155,5.17,id_recovered,42,car,"raw 72 -> 231, mất 1 frame"
155,5.17,id_recovered,39,moto,"raw 195 -> 232, mất 24 frame"
156,5.2,id_recovered,13,car,"raw 131 -> 234, mất 50 frame"
159,5.3,id_recovered,24,car,"raw 227 -> 239, mất 0 frame"
160,5.33,id_recovered,28,car,"raw 168 -> 227, mất 52 frame"
160,5.33,id_recovered,12,car,"raw 12 -> 241, mất 1 frame"
160,5.33,occlusion,36&47,,IoU 0.45
160,5.33,occlusion,24&28,,IoU 0.71
161,5.37,id_recovered,51,moto,"raw 185 -> 242, mất 3 frame"
162,5.4,occlusion,36&47,,IoU 0.31
164,5.47,id_recovered,5,car,"raw 221 -> 244, mất 1 frame"
165,5.5,small_object,76,moto,"box 22x36px, conf 0.51"
167,5.57,id_recovered,13,car,"raw 234 -> 246, mất 0 frame"
169,5.63,id_recovered,75,car,"raw 243 -> 247, mất 1 frame"
170,5.67,id_recovered,26,car,"raw 183 -> 249, mất 18 frame"
172,5.73,id_recovered,5,car,"raw 244 -> 251, mất 5 frame"
173,5.77,id_recovered,77,car,"raw 250 -> 252, mất 1 frame"
