frame,read_ms,track_ms,yolo_pre_ms,yolo_inf_ms,yolo_post_ms,ids_ms,draw_ms,diag_ms,n_tracks,n_small,n_blur,n_occluded_pairs
75,4.386,121.725,9.839,104.262,2.044,3.877,19.743,5.095,41,6,0,0
76,4.239,114.105,9.863,94.567,2.194,3.844,19.899,7.138,41,6,0,1
77,4.309,118.124,8.95,101.357,1.818,3.296,19.503,6.696,42,7,0,1
78,4.217,121.279,10.731,101.407,2.073,3.687,18.942,5.259,41,6,0,1
79,3.959,119.466,9.341,101.709,2.086,3.38,20.064,18.056,44,6,0,2
80,4.564,118.136,10.226,100.131,1.915,3.001,18.341,5.875,43,7,0,1
81,4.721,124.858,11.269,104.127,2.099,3.842,23.296,4.745,43,8,0,1
82,4.823,144.263,12.083,117.566,2.813,6.953,28.954,5.31,41,7,0,0
83,5.262,155.344,13.44,132.649,1.702,4.405,20.319,17.341,43,8,0,0
84,5.517,133.832,13.721,110.751,1.825,3.481,21.041,4.236,43,8,0,0
85,4.574,134.218,12.471,109.423,2.293,5.39,29.782,7.241,44,8,0,0
86,4.24,130.615,13.659,104.692,2.527,5.641,24.478,8.159,45,5,0,0
87,4.343,125.774,10.137,106.759,1.946,3.813,20.173,6.807,46,9,0,0
88,4.428,115.809,10.949,95.293,2.119,4.787,21.67,17.181,45,8,0,1
89,4.723,121.891,12.058,99.981,2.155,4.301,23.939,5.362,45,9,0,1
90,3.845,114.72,10.781,96.742,1.685,3.902,21.38,4.794,45,8,0,3
91,4.321,126.787,10.477,100.742,2.612,3.901,21.083,4.761,42,7,0,1
92,5.04,118.696,13.227,96.364,1.931,3.572,18.103,4.294,42,6,0,1
93,4.211,119.56,10.588,100.176,1.833,3.582,20.438,4.802,42,7,0,1
94,4.577,125.984,12.998,101.367,2.163,4.733,28.57,6.494,39,6,0,1
95,4.82,117.387,10.044,99.583,1.846,3.42,18.069,4.236,38,7,0,1
96,4.934,151.665,14.514,125.262,3.34,3.421,21.9,6.959,39,6,0,1
97,6.949,150.989,15.817,123.527,2.317,4.582,23.097,5.754,41,6,0,1
98,5.713,124.186,14.306,100.657,1.84,3.574,17.198,5.343,38,5,0,1
99,4.088,129.431,10.874,108.667,2.295,3.424,17.298,5.651,38,7,0,0
100,3.901,135.75,12.391,114.273,2.232,3.277,20.28,4.705,37,6,0,0
101,4.917,126.542,10.955,104.85,2.567,3.427,16.453,3.907,35,5,0,0
102,4.299,112.614,9.262,95.222,1.739,3.311,19.228,3.919,35,6,0,0
103,4.576,114.692,8.941,97.658,1.61,2.998,18.665,4.463,34,5,0,0
104,3.997,121.588,10.768,101.493,1.9,3.204,18.706,5.075,35,4,0,2
105,4.46,124.82,10.527,106.197,1.971,3.374,16.779,3.947,36,5,0,1
106,4.307,119.482,10.113,100.099,2.241,3.325,19.273,4.092,37,5,0,3
107,5.316,123.67,10.864,102.633,1.976,3.402,18.898,4.771,37,5,0,3
108,4.544,125.794,10.733,99.9,4.294,3.054,18.416,5.269,33,3,0,1
109,4.581,154.771,10.843,119.57,3.478,7.317,31.855,11.041,35,2,0,1
110,9.758,133.298,18.177,96.731,3.178,7.408,27.573,9.68,37,3,0,1
111,7.295,137.156,13.754,104.988,3.243,7.669,30.015,9.991,35,3,0,1
112,6.664,137.377,16.478,110.744,1.835,3.0,27.606,7.411,36,3,0,1
113,7.165,131.366,15.435,106.458,1.874,3.169,18.008,4.793,34,3,0,0
114,5.05,120.889,12.282,100.408,1.847,2.545,18.414,4.153,35,3,0,1
115,13.181,156.84,20.834,118.599,3.224,6.911,28.233,9.509,33,3,0,0
116,7.433,134.343,16.031,99.604,3.389,7.213,28.876,9.806,35,3,0,0
117,6.628,138.33,15.94,104.84,3.077,7.846,30.918,10.553,35,3,0,0
118,6.784,146.101,14.65,111.471,4.431,6.745,30.582,13.303,36,2,0,0
119,5.866,140.485,12.906,109.625,3.453,6.763,27.373,11.175,35,2,0,0
120,6.363,133.779,16.432,99.587,3.072,6.462,27.893,9.065,32,1,0,0
